;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RUSSIAN FLAT PRODUCTS;;;;;;Q1 2016;Q2 2016;Q3 2016;Q4 2016;Q1 2017;Q2 2017;Q3 2017;Q4 2017;Q1 2018;Q2 2018;Q3 2018;Q4 2018;Q1 2019;Q2 2019;Q3 2019;Q4 2019;Q1 2020;Q2 2020;Q3 2020;Q4 2020;Q1 2021;Q2 2021;Q3 2021;Q4 2021;;2014;2015;Q1 2016;H1 2016;9M 2016;2016;Q1 2017;H1 2017;9M 2017;2017;Q1 2018;H1 2018;9M 2018;2018;Q1 2019;H1 2019;9M 2019;2019;Q1 2020;H1 2020;9M 2020;2020;Q1 2021;H1 2021;9M 2021;2021;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SEGMENT SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;REVENUE;;M'USD;;;1 139;1 394;1 627;1 427;1 714;1 957;1 932;2 056;2 169;2 297;2 125;2 152;1 976;1 923;1 741;1 687;1 788;1 624;1 600;1 776;2 117;3 189;2 991;3 272;;7 794;6 076;1 139;2 533;4 160;5 587;1 714;3 671;5 603;7 659;2 169;4 466;6 591;8 743;1 976;3 899;5 640;7 327;1 788;3 412;5 012;6 788;2 117;5 306;8 297;11 569;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Revenue from external cusomers;M'USD;;;929;995;1 256;1 092;1 170;1 323;1 481;1 621;1 471;1 638;1 576;1 642;1 624;1 444;1 482;1 347;1 376;1 384;1 425;1 415;1 596;2 275;2 422;2 355;;5 688;4 732;929;1 924;3 180;4 272;1 170;2 493;3 974;5 595;1 471;3 109;4 685;6 327;1 624;3 068;4 550;5 897;1 376;2 760;4 185;5 600;1 596;3 871;6 293;8 648;;;;;;;;;;;;;;;;;;;
;;;Pig iron;M'USD;;;25;25;27;10;17;22;64;49;97;82;59;114;17;56;19;79;99;122;130;171;16;81;149;109;;103;175;25;50;77;87;17;39;104;152;97;179;238;351;17;74;93;172;99;222;352;523;16;97;246;355;;;;;;;;;;;;;;;;;;;
;;;Slabs;M'USD;;;239;162;259;278;210;189;349;488;319;360;360;487;530;302;359;277;311;374;349;227;327;627;699;472;;1 458;1 199;239;401;660;938;210;399;748;1 235;319;679;1 039;1 526;530;832;1 191;1 469;311;685;1 034;1 261;327;954;1 653;2 125;;;;;;;;;;;;;;;;;;;
;;;Hot-rolled steel;M'USD;;;216;233;326;232;344;366;328;343;315;414;331;301;362;334;320;339;326;331;297;357;464;556;563;645;;1 291;1 019;216;449;775;1 007;344;710;1 038;1 381;315;729;1 060;1 361;362;696;1 016;1 355;326;657;954;1 311;464;1 021;1 584;2 229;;;;;;;;;;;;;;;;;;;
;;;Other metal products*;M'USD;;;;;;;;;;;;;;;;;;;;;;;;;28;1;;;;;;;;;;;;;;;;;;;;;;;;;;28;29;;;;;;;;;;;;;;;;;;;
;;;High value added products;M'USD;;;379;505;546;461;487;579;612;597;596;664;726;635;602;623;658;564;563;480;578;566;705;887;844;985;;2 447;1 974;379;884;1 431;1 892;487;1 066;1 678;2 275;596;1 260;1 985;2 620;602;1 225;1 883;2 447;563;1 043;1 621;2 187;705;1 591;2 435;3 420;;;;;;;;;;;;;;;;;;;
;;;Other revenue;M'USD;;;70;70;97;109;112;167;127;146;145;117;101;105;112;128;126;88;77;77;71;94;84;124;139;143;;389;366;70;140;237;346;112;279;406;552;145;262;363;469;112;241;367;455;77;153;224;318;84;208;347;489;;;;;;;;;;;;;;;;;;;
